[3470000, 0.45239193083573487]
[3480000, 0.4524712643678161]
[3490000, 0.452865329512894]
[3500000, 0.45294285714285715]
[3510000, 0.4527920227920228]
[3520000, 0.45303977272727275]
[3530000, 0.45305949008498586]
[3540000, 0.45322033898305086]
[3550000, 0.4529577464788732]
[3560000, 0.45269662921348314]
[3570000, 0.4524089635854342]
[3580000, 0.45231843575418995]
[3590000, 0.45211699164345404]
[3600000, 0.4523333333333333]
[3610000, 0.45232686980609416]
[3620000, 0.4523204419889503]
[3630000, 0.45201101928374654]
[3640000, 0.45184065934065937]
[3650000, 0.4518904109589041]
[3660000, 0.4516120218579235]
[3670000, 0.4515531335149864]
[3680000, 0.45168478260869566]
[3690000, 0.4513550135501355]
[3700000, 0.4514054054054054]
[3710000, 0.45121293800539086]
[3720000, 0.45129032258064516]
[3730000, 0.4513941018766756]
[3740000, 0.45133689839572194]
[3750000, 0.4512]
[3760000, 0.4512765957446809]
[3770000, 0.4513793103448276]
[3780000, 0.4514285714285714]
[3790000, 0.4514511873350924]
[3800000, 0.4515789473684211]
[3810000, 0.4514173228346457]
[3820000, 0.45162303664921466]
[3830000, 0.4514099216710183]
[3840000, 0.4515104166666667]
[3850000, 0.45145454545454544]
[3860000, 0.45155440414507775]
[3870000, 0.4513953488372093]
[3880000, 0.451159793814433]
[3890000, 0.4514652956298201]
[3900000, 0.4513846153846154]
[3910000, 0.4511253196930946]
[3920000, 0.4509438775510204]
[3930000, 0.45081424936386766]
[3940000, 0.45111675126903555]
[3950000, 0.45124050632911394]
[3960000, 0.4511363636363636]
[3970000, 0.4512846347607053]
[3980000, 0.45113065326633167]
[3990000, 0.4512781954887218]
[4000000, 0.4511]
[4010000, 0.45104738154613466]
[4020000, 0.45154228855721396]
[4030000, 0.4518362282878412]
[4040000, 0.45153465346534655]
[4050000, 0.45128395061728394]
[4060000, 0.4516502463054187]
[4070000, 0.45142506142506145]
[4080000, 0.45149509803921567]
[4090000, 0.4519070904645477]
[4100000, 0.4518048780487805]
[4110000, 0.4515571776155718]
[4120000, 0.45152912621359226]
[4130000, 0.4514043583535109]
[4140000, 0.45113526570048307]
[4150000, 0.4512289156626506]
[4160000, 0.45127403846153846]
[4170000, 0.4512470023980815]
[4180000, 0.45177033492822966]
[4190000, 0.45167064439140814]
[4200000, 0.45171428571428573]
[4210000, 0.45185273159144895]
[4220000, 0.45196682464454974]
[4230000, 0.45196217494089835]
