['win', [[2, 'S'], [7, 'D']], '3 of a Kind']
['win', [[3, 'C'], [7, 'C']], '2 Pairs']
['win', [[5, 'D'], [7, 'D']], 'Straight']
['win', [[4, 'S'], [12, 'C']], 'Pair']
['win', [[9, 'H'], [5, 'H']], 'Flush']
['win', [[2, 'C'], [13, 'C']], 'Flush']
['win', [[9, 'D'], [11, 'S']], '3 of a Kind']
['win', [[13, 'H'], [9, 'D']], 'Straight']
['win', [[7, 'S'], [8, 'S']], 'Flush']
['win', [[8, 'C'], [10, 'D']], '3 of a Kind']
['win', [[3, 'S'], [3, 'D']], '3 of a Kind']
['win', [[6, 'S'], [10, 'H']], '2 Pairs']
['win', [[8, 'C'], [5, 'S']], 'Straight']
['win', [[7, 'H'], [13, 'S']], 'Straight']
['win', [[10, 'D'], [8, 'D']], 'Straight']
['win', [[10, 'S'], [14, 'H']], '2 Pairs']
['win', [[9, 'H'], [6, 'S']], '3 of a Kind']
['win', [[6, 'C'], [10, 'D']], 'Flush']
['win', [[6, 'C'], [13, 'H']], 'Full House']
['win', [[12, 'S'], [3, 'S']], 'Full House']
['win', [[5, 'D'], [7, 'H']], 'Straight']
['win', [[4, 'H'], [14, 'S']], '3 of a Kind']
['draw', [[[13, 'S'], [11, 'C']], [[4, 'S'], [13, 'H']]], '2 Pairs']
['win', [[6, 'D'], [14, 'C']], 'Straight']
['win', [[11, 'S'], [13, 'S']], 'Flush']
['win', [[3, 'S'], [8, 'S']], 'Straight']
['win', [[6, 'S'], [2, 'S']], 'Flush']
['win', [[9, 'H'], [10, 'D']], '3 of a Kind']
['win', [[10, 'S'], [9, 'S']], 'Flush']
['win', [[4, 'H'], [12, 'C']], '2 Pairs']
['win', [[14, 'C'], [13, 'S']], 'Flush']
['win', [[13, 'C'], [14, 'D']], '2 Pairs']
['win', [[7, 'C'], [5, 'S']], 'Full House']
['win', [[9, 'S'], [11, 'S']], '3 of a Kind']
['win', [[14, 'H'], [14, 'S']], '2 Pairs']
['win', [[11, 'C'], [11, 'H']], '2 Pairs']
