['win', [[2, 'D'], [14, 'H']], 'Pair']
['win', [[2, 'H'], [8, 'C']], '2 Pairs']
['win', [[12, 'C'], [3, 'C']], 'Pair']
['win', [[5, 'S'], [2, 'S']], 'Flush']
['win', [[6, 'D'], [14, 'D']], '2 Pairs']
['win', [[9, 'S'], [4, 'S']], 'Pair']
['win', [[5, 'C'], [10, 'H']], '2 Pairs']
['win', [[9, 'D'], [11, 'S']], 'Full House']
['win', [[14, 'C'], [8, 'C']], '2 Pairs']
['win', [[11, 'D'], [12, 'D']], 'Pair']
['win', [[5, 'C'], [14, 'C']], 'Pair']
['win', [[13, 'D'], [6, 'C']], 'Straight']
['win', [[13, 'C'], [11, 'C']], 'Pair']
['win', [[14, 'C'], [9, 'C']], 'Pair']
['win', [[11, 'H'], [11, 'D']], '2 Pairs']
['win', [[3, 'S'], [11, 'S']], 'Flush']
['win', [[4, 'C'], [4, 'S']], '3 of a Kind']
['win', [[7, 'C'], [14, 'C']], '2 Pairs']
['win', [[6, 'H'], [5, 'H']], 'Pair']
['win', [[11, 'C'], [12, 'S']], 'Pair']
['win', [[9, 'C'], [9, 'S']], '3 of a Kind']
['win', [[9, 'H'], [11, 'D']], None]
['win', [[10, 'S'], [7, 'S']], 'Pair']
['win', [[12, 'S'], [9, 'S']], '3 of a Kind']
['win', [[6, 'D'], [7, 'S']], '2 Pairs']
['win', [[6, 'D'], [12, 'S']], 'Flush']
['win', [[4, 'D'], [7, 'H']], '2 Pairs']
['win', [[5, 'C'], [11, 'H']], 'Pair']
['win', [[2, 'D'], [5, 'H']], '2 Pairs']
['win', [[12, 'C'], [14, 'C']], '2 Pairs']
['win', [[11, 'C'], [13, 'D']], 'Pair']
['win', [[7, 'H'], [8, 'S']], '2 Pairs']
['win', [[14, 'D'], [3, 'S']], 'Pair']
['win', [[14, 'H'], [3, 'C']], '2 Pairs']
['win', [[8, 'C'], [3, 'C']], '2 Pairs']
['win', [[9, 'C'], [2, 'H']], '2 Pairs']
['win', [[9, 'H'], [14, 'C']], 'Pair']
['win', [[14, 'H'], [14, 'C']], '3 of a Kind']
['win', [[13, 'C'], [10, 'C']], 'Flush']
['win', [[2, 'H'], [3, 'C']], 'Pair']
['win', [[9, 'C'], [12, 'S']], 'Pair']
['win', [[10, 'D'], [7, 'C']], 'Pair']
['win', [[13, 'C'], [12, 'D']], '2 Pairs']
['win', [[11, 'S'], [2, 'S']], '3 of a Kind']
['win', [[12, 'S'], [6, 'D']], '2 Pairs']
['win', [[11, 'D'], [13, 'S']], '3 of a Kind']
['win', [[14, 'H'], [2, 'D']], '2 Pairs']
['win', [[5, 'C'], [8, 'D']], '2 Pairs']
['win', [[14, 'H'], [9, 'S']], '2 Pairs']
['win', [[9, 'H'], [9, 'C']], 'Pair']
['win', [[12, 'H'], [6, 'H']], 'Pair']
['win', [[7, 'S'], [9, 'S']], 'Flush']
['win', [[14, 'C'], [9, 'D']], 'Full House']
['win', [[3, 'D'], [9, 'D']], 'Flush']
['win', [[9, 'D'], [9, 'S']], 'Pair']
['win', [[13, 'C'], [9, 'D']], '3 of a Kind']
['win', [[11, 'S'], [12, 'D']], '2 Pairs']
['win', [[11, 'C'], [12, 'C']], '2 Pairs']
['win', [[14, 'C'], [4, 'D']], '2 Pairs']
['win', [[11, 'H'], [14, 'S']], 'Pair']
['win', [[8, 'S'], [7, 'C']], '2 Pairs']
['win', [[9, 'H'], [13, 'D']], '2 Pairs']
['win', [[11, 'C'], [12, 'C']], 'Pair']
['win', [[7, 'D'], [12, 'H']], '2 Pairs']
['win', [[2, 'C'], [5, 'C']], 'Pair']
['win', [[5, 'H'], [9, 'C']], 'High Card']
['draw', [[[4, 'C'], [10, 'C']], [[11, 'D'], [8, 'S']]], 'Pair']
['win', [[13, 'C'], [13, 'D']], '2 Pairs']
['win', [[13, 'S'], [13, 'C']], 'Flush']
['win', [[13, 'D'], [7, 'D']], 'Pair']
['win', [[13, 'S'], [8, 'H']], 'Pair']
['win', [[14, 'D'], [11, 'D']], 'Flush']
['win', [[8, 'C'], [14, 'H']], 'Pair']
['win', [[13, 'D'], [11, 'S']], '2 Pairs']
['win', [[9, 'C'], [13, 'S']], '3 of a Kind']
['win', [[8, 'C'], [2, 'D']], '2 Pairs']
['win', [[12, 'H'], [9, 'C']], 'Pair']
['win', [[14, 'D'], [13, 'H']], '3 of a Kind']
['win', [[7, 'C'], [9, 'H']], None]
['win', [[14, 'S'], [5, 'H']], 'High Card']
['win', [[14, 'C'], [5, 'H']], 'Flush']
['win', [[11, 'S'], [8, 'D']], 'Pair']
['win', [[4, 'D'], [4, 'S']], 'Full House']
['win', [[9, 'S'], [7, 'D']], '2 Pairs']
['win', [[7, 'D'], [12, 'D']], 'Flush']
['win', [[14, 'C'], [13, 'C']], 'Pair']
['win', [[7, 'C'], [4, 'D']], '2 Pairs']
['win', [[2, 'H'], [12, 'C']], 'Pair']
['win', [[6, 'C'], [12, 'D']], 'Straight']
['win', [[4, 'C'], [6, 'S']], 'Straight']
['win', [[5, 'H'], [12, 'S']], 'Pair']
['win', [[9, 'S'], [10, 'D']], '2 Pairs']
['win', [[8, 'D'], [2, 'H']], 'Full House']
['win', [[3, 'C'], [7, 'C']], 'Pair']
['win', [[14, 'S'], [14, 'C']], '2 Pairs']
['win', [[11, 'S'], [14, 'C']], 'High Card']
['win', [[7, 'D'], [7, 'H']], 'Pair']
['win', [[5, 'D'], [9, 'H']], '2 Pairs']
['win', [[6, 'C'], [10, 'H']], 'Pair']
['win', [[12, 'C'], [13, 'C']], 'Flush']
['win', [[13, 'D'], [14, 'H']], 'Full House']
['win', [[4, 'C'], [11, 'S']], 'Pair']
['win', [[10, 'D'], [3, 'H']], '2 Pairs']
['win', [[3, 'D'], [2, 'D']], 'Flush']
['win', [[2, 'S'], [2, 'C']], '3 of a Kind']
['win', [[10, 'H'], [9, 'S']], 'Pair']
['win', [[6, 'H'], [10, 'C']], 'Pair']
['win', [[12, 'D'], [12, 'C']], '3 of a Kind']
['win', [[11, 'S'], [11, 'H']], '2 Pairs']
['win', [[5, 'D'], [14, 'S']], '2 Pairs']
['win', [[8, 'S'], [4, 'D']], None]
['win', [[14, 'H'], [11, 'D']], 'Pair']
['win', [[2, 'D'], [10, 'H']], '2 Pairs']
['draw', [[[6, 'C'], [12, 'C']], [[7, 'D'], [3, 'D']]], 'Pair']
['win', [[6, 'D'], [14, 'H']], 'Pair']
['win', [[5, 'S'], [12, 'S']], 'Flush']
['win', [[13, 'C'], [5, 'D']], '2 Pairs']
['win', [[2, 'H'], [4, 'H']], 'Flush']
['win', [[10, 'C'], [13, 'S']], 'Pair']
['win', [[10, 'H'], [3, 'S']], '2 Pairs']
['win', [[8, 'C'], [11, 'S']], 'Full House']
['win', [[5, 'S'], [7, 'D']], 'Pair']
['win', [[3, 'S'], [10, 'H']], '2 Pairs']
['win', [[11, 'H'], [7, 'C']], 'Pair']
['win', [[5, 'C'], [14, 'S']], 'Pair']
['win', [[2, 'H'], [14, 'H']], None]
['win', [[5, 'C'], [12, 'H']], 'Full House']
['win', [[14, 'D'], [14, 'C']], 'Pair']
['win', [[8, 'H'], [6, 'S']], '3 of a Kind']
['win', [[2, 'H'], [11, 'S']], '2 Pairs']
['win', [[12, 'H'], [5, 'S']], 'Pair']
['win', [[8, 'D'], [7, 'H']], 'Pair']
['win', [[7, 'D'], [10, 'C']], 'Pair']
['win', [[6, 'C'], [14, 'C']], 'Pair']
['win', [[12, 'H'], [8, 'D']], 'Pair']
['win', [[8, 'S'], [14, 'H']], '2 Pairs']
['win', [[5, 'H'], [5, 'D']], 'Pair']
['win', [[13, 'S'], [4, 'C']], '3 of a Kind']
['win', [[7, 'H'], [7, 'S']], 'Full House']
['win', [[12, 'S'], [14, 'C']], 'Full House']
['win', [[14, 'C'], [10, 'H']], '2 Pairs']
['win', [[6, 'H'], [10, 'S']], '2 Pairs']
['win', [[14, 'H'], [13, 'H']], 'Pair']
['win', [[9, 'D'], [9, 'H']], 'Flush']
['win', [[11, 'C'], [4, 'S']], '2 Pairs']
['win', [[10, 'C'], [4, 'D']], 'Pair']
['win', [[12, 'D'], [14, 'C']], None]
['win', [[13, 'S'], [14, 'H']], '3 of a Kind']
['win', [[13, 'C'], [13, 'H']], 'Pair']
['win', [[6, 'C'], [11, 'C']], None]
['win', [[14, 'D'], [14, 'C']], '2 Pairs']
['win', [[7, 'H'], [10, 'D']], 'Pair']
['draw', [[[5, 'S'], [12, 'D']], [[14, 'D'], [4, 'C']]], 'Flush']
['win', [[12, 'D'], [14, 'H']], '2 Pairs']
['win', [[12, 'D'], [8, 'C']], 'Full House']
['win', [[13, 'D'], [12, 'C']], 'Full House']
['win', [[4, 'D'], [12, 'D']], 'Pair']
['win', [[5, 'S'], [13, 'D']], 'Pair']
